usuario_id,nome_programa,categoria,tempo_assistido,dispositivo,data,tempo
217,Wish year.,Filmes,128.0,Celulares,2024-12-06,0 days 01:59:49
124,Board economy.,Filmes,115.0,Smartfones,2024-12-04,0 days 11:20:51
315,Light affect.,Filmes,169.0,Tablet,2024-12-01,0 days 01:39:33
594,Send.,Documentários,35.0,Tablet,2024-12-08,0 days 04:57:15
221,Music doctor.,Séries,95.0,Celulares,2024-12-03,0 days 05:18:30
419,Our what.,Filmes,84.0,Tablet,2024-12-01,0 days 06:56:14
932,Anyone.,Filmes,123.0,Smart TV,2024-12-03,0 days 03:16:49
38,Use.,Filmes,79.0,Smart TV,2024-12-02,0 days 10:48:36
881,Stay line.,Novelas,59.0,Smart TV,2024-12-08,0 days 09:08:57
302,Class strategy.,Filmes,137.0,Smart TV,2024-12-08,0 days 10:33:04
939,Worker total.,Documentários,129.0,Tablet,2024-12-06,0 days 15:03:42
96,Power.,Filmes,163.0,Smartfones,2024-12-02,0 days 12:34:41
974,Method response.,Documentários,157.0,Smart TV,2024-12-07,0 days 21:53:30
864,Big.,Filmes,116.0,Smart TV,2024-12-08,0 days 13:05:11
72,Take.,Filmes,125.0,Smart TV,2024-12-07,0 days 14:09:27
340,Happen scene.,Documentários,79.0,Smartfones,2024-12-05,0 days 06:10:33
198,Newspaper some.,Filmes,115.0,Smart TV,2024-12-07,0 days 13:12:10
152,Happy.,Documentários,60.0,Celulares,2024-12-08,0 days 00:24:10
204,Look move.,Séries,165.0,Celulares,2024-12-03,0 days 08:00:18
144,Laugh.,Filmes,62.0,Smartfones,2024-12-08,0 days 07:41:54
379,Agency just.,Shows,48.0,Tablet,2024-12-07,0 days 07:10:53
340,Child voice.,Documentários,7.0,Smartfones,2024-12-08,0 days 22:39:12
853,I.,Filmes,25.0,Smart TV,2024-12-08,0 days 12:08:21
583,Meeting.,Novelas,167.0,Smartfones,2024-12-02,0 days 06:02:03
370,Middle provide.,Shows,136.0,Tablet,2024-12-03,0 days 03:14:19
776,Hold same.,Documentários,88.0,Smart TV,2024-12-06,0 days 00:33:49
768,Deep.,Séries,7.0,Smartfones,2024-12-07,0 days 05:30:04
822,Usually effect.,Documentários,9.0,Smartfones,2024-12-08,0 days 06:04:40
66,Discover.,Filmes,144.0,Celulares,2024-12-06,0 days 13:40:38
279,Window.,Filmes,39.0,Tablet,2024-12-03,0 days 05:57:25
719,Full.,Filmes,6.0,Celulares,2024-12-05,0 days 05:00:10
156,Manage.,Novelas,111.0,Smartfones,2024-12-01,0 days 03:46:34
499,Charge.,Shows,50.0,Celulares,2024-12-03,0 days 04:15:27
458,Gun.,Shows,140.0,Celulares,2024-12-05,0 days 14:42:44
203,Front.,Séries,90.0,Tablet,2024-12-06,0 days 15:52:42
274,Fine.,Shows,14.0,Smartfones,2024-12-02,0 days 14:38:45
957,Physical.,Séries,126.0,Celulares,2024-12-05,0 days 21:29:57
963,Act visit.,Shows,14.0,Smart TV,2024-12-07,0 days 08:55:23
145,Home identify.,Documentários,123.0,Smartfones,2024-12-05,0 days 19:01:45
996,Fine Congress.,Séries,101.0,Tablet,2024-12-06,0 days 16:07:25
975,Ok.,Filmes,58.0,Smart TV,2024-12-03,0 days 02:52:07
136,At provide.,Documentários,58.0,Smartfones,2024-12-04,0 days 01:23:22
293,Become door.,Documentários,121.0,Celulares,2024-12-01,0 days 23:35:34
838,Rest.,Filmes,16.0,Celulares,2024-12-07,0 days 11:32:25
548,Team leg.,Shows,55.0,Smart TV,2024-12-02,0 days 11:47:36
709,Campaign doctor.,Novelas,115.0,Smartfones,2024-12-08,0 days 01:05:34
694,Machine would.,Shows,134.0,Smart TV,2024-12-05,0 days 13:33:23
638,Respond beyond.,Filmes,88.0,Celulares,2024-12-03,0 days 13:36:18
677,Technology begin.,Filmes,42.0,Smartfones,2024-12-03,0 days 06:59:43
245,Participant.,Filmes,18.0,Celulares,2024-12-08,0 days 22:13:47
146,Citizen.,Séries,128.0,Tablet,2024-12-05,0 days 06:32:45
137,Old science.,Documentários,150.0,Celulares,2024-12-05,0 days 13:51:50
190,Training.,Novelas,23.0,Celulares,2024-12-03,0 days 04:33:39
180,Suffer interesting.,Documentários,5.0,Tablet,2024-12-04,0 days 09:22:45
727,Require.,Novelas,143.0,Tablet,2024-12-02,0 days 16:24:54
746,Degree space.,Filmes,46.0,Celulares,2024-12-06,0 days 02:24:37
69,At.,Filmes,171.0,Celulares,2024-12-04,0 days 08:59:46
160,Few.,Séries,78.0,Smart TV,2024-12-06,0 days 11:07:18
716,How likely.,Novelas,146.0,Tablet,2024-12-03,0 days 15:24:49
